Saint-Pierre-des-Corps,FR,3.07,3.57,2.78
city,country,temp,temp_max,temp_min
Saint-Maximin-la-Sainte-Baume,FR,4.67,6.92,-1.92
city,country,temp,temp_max,temp_min
Saint-Martin-d'Hères,FR,1.27,3.14,-0.76
city,country,temp,temp_max,temp_min
Saint-Jean-de-la-Ruelle,FR,3.7,4.75,2.22
city,country,temp,temp_max,temp_min
Saint-Jean-de-Braye,FR,3.73,4.18,2.25
city,country,temp,temp_max,temp_min
Saint-Jean-de-Braye,FR,3.7,4.14,2.22
city,country,temp,temp_max,temp_min
Saint-Fons,FR,-0.47,0.7,-0.95
city,country,temp,temp_max,temp_min
Saintes,FR,1.19,1.99,0.83
city,country,temp,temp_max,temp_min
Sainte-Foy-lès-Lyon,FR,-1.11,0.03,-1.62
city,country,temp,temp_max,temp_min
Saint Egreve,FR,1.08,3.14,-0.76
city,country,temp,temp_max,temp_min
Saint-Dié-des-Vosges,FR,0.08,3.16,-1.32
city,country,temp,temp_max,temp_min
Saint-Cyr-sur-Loire,FR,2.9,3.36,2.57
city,country,temp,temp_max,temp_min
Saint-Amand-les-Eaux,FR,6.45,7.22,5.18
city,country,temp,temp_max,temp_min
Pontivy,FR,4.53,5.53,3.52
city,country,temp,temp_max,temp_min
Ploemeur,FR,5.21,6.01,4.33
city,country,temp,temp_max,temp_min
Pertuis,FR,-1.21,7.47,-3.17
city,country,temp,temp_max,temp_min
Palaiseau,FR,4.72,5.69,3.89
city,country,temp,temp_max,temp_min
Outreau,FR,6.68,7.42,5.76
city,country,temp,temp_max,temp_min
Oullins,FR,-0.46,0.68,-0.97
city,country,temp,temp_max,temp_min
Cherbourg-en-Cotentin,FR,7.84,7.84,7.49
city,country,temp,temp_max,temp_min
Octeville,FR,7.27,7.27,6.92
city,country,temp,temp_max,temp_min
Noyon,FR,5.46,6.29,5.36
city,country,temp,temp_max,temp_min
Noyon,FR,5.46,6.29,5.36
city,country,temp,temp_max,temp_min
Niort,FR,0.99,1.94,0.74
city,country,temp,temp_max,temp_min
Morlaix,FR,5.43,7.42,3.49
city,country,temp,temp_max,temp_min
Montivilliers,FR,5.56,6.36,5.2
city,country,temp,temp_max,temp_min
